,연도,일시,측정소,PM2.5
0,0,01-01 00:00,대천2동,
1,0,01-01 01:00,대천2동,0.068
2,0,01-01 02:00,대천2동,0.068
3,0,01-01 03:00,대천2동,0.068
4,0,01-01 04:00,대천2동,
5,0,01-01 05:00,대천2동,
6,0,01-01 06:00,대천2동,
7,0,01-01 07:00,대천2동,
8,0,01-01 08:00,대천2동,0.04
9,0,01-01 09:00,대천2동,0.048
10,0,01-01 10:00,대천2동,0.036
11,0,01-01 11:00,대천2동,0.04
12,0,01-01 12:00,대천2동,
13,0,01-01 13:00,대천2동,
14,0,01-01 14:00,대천2동,
15,0,01-01 15:00,대천2동,
16,0,01-01 16:00,대천2동,0.064
17,0,01-01 17:00,대천2동,0.06
18,0,01-01 18:00,대천2동,0.068
19,0,01-01 19:00,대천2동,0.08
20,0,01-01 20:00,대천2동,0.088
21,0,01-01 21:00,대천2동,0.076
22,0,01-01 22:00,대천2동,0.072
23,0,01-01 23:00,대천2동,0.072
24,0,01-02 00:00,대천2동,0.08
25,0,01-02 01:00,대천2동,0.088
26,0,01-02 02:00,대천2동,0.08
27,0,01-02 03:00,대천2동,0.072
28,0,01-02 04:00,대천2동,0.108
29,0,01-02 05:00,대천2동,0.108
30,0,01-02 06:00,대천2동,0.116
31,0,01-02 07:00,대천2동,0.116
32,0,01-02 08:00,대천2동,0.128
33,0,01-02 09:00,대천2동,0.156
34,0,01-02 10:00,대천2동,0.16
35,0,01-02 11:00,대천2동,0.128
36,0,01-02 12:00,대천2동,0.124
37,0,01-02 13:00,대천2동,0.12
38,0,01-02 14:00,대천2동,0.14
39,0,01-02 15:00,대천2동,0.144
40,0,01-02 16:00,대천2동,0.156
41,0,01-02 17:00,대천2동,0.18
42,0,01-02 18:00,대천2동,0.196
43,0,01-02 19:00,대천2동,0.208
44,0,01-02 20:00,대천2동,0.212
45,0,01-02 21:00,대천2동,0.172
46,0,01-02 22:00,대천2동,0.18
47,0,01-02 23:00,대천2동,0.18
48,0,01-03 00:00,대천2동,0.176
49,0,01-03 01:00,대천2동,0.176
50,0,01-03 02:00,대천2동,0.184
51,0,01-03 03:00,대천2동,0.184
52,0,01-03 04:00,대천2동,0.184
53,0,01-03 05:00,대천2동,0.184
54,0,01-03 06:00,대천2동,0.18
55,0,01-03 07:00,대천2동,0.168
56,0,01-03 08:00,대천2동,0.192
57,0,01-03 09:00,대천2동,0.188
58,0,01-03 10:00,대천2동,0.128
59,0,01-03 11:00,대천2동,0.104
60,0,01-03 12:00,대천2동,0.112
61,0,01-03 13:00,대천2동,0.132
62,0,01-03 14:00,대천2동,0.116
63,0,01-03 15:00,대천2동,0.092
64,0,01-03 16:00,대천2동,0.124
65,0,01-03 17:00,대천2동,0.12
66,0,01-03 18:00,대천2동,0.12
67,0,01-03 19:00,대천2동,0.12
68,0,01-03 20:00,대천2동,0.108
69,0,01-03 21:00,대천2동,0.116
70,0,01-03 22:00,대천2동,0.1
71,0,01-03 23:00,대천2동,0.096
72,0,01-04 00:00,대천2동,0.104
73,0,01-04 01:00,대천2동,0.104
74,0,01-04 02:00,대천2동,0.104
75,0,01-04 03:00,대천2동,0.088
76,0,01-04 04:00,대천2동,0.1
77,0,01-04 05:00,대천2동,0.1
78,0,01-04 06:00,대천2동,0.084
79,0,01-04 07:00,대천2동,0.128
80,0,01-04 08:00,대천2동,0.116
81,0,01-04 09:00,대천2동,0.1
82,0,01-04 10:00,대천2동,0.108
83,0,01-04 11:00,대천2동,0.092
84,0,01-04 12:00,대천2동,0.128
85,0,01-04 13:00,대천2동,0.2
86,0,01-04 14:00,대천2동,0.248
87,0,01-04 15:00,대천2동,0.264
88,0,01-04 16:00,대천2동,0.288
89,0,01-04 17:00,대천2동,0.344
90,0,01-04 18:00,대천2동,0.388
91,0,01-04 19:00,대천2동,0.404
92,0,01-04 20:00,대천2동,0.416
93,0,01-04 21:00,대천2동,0.404
94,0,01-04 22:00,대천2동,0.36
95,0,01-04 23:00,대천2동,0.364
96,0,01-05 00:00,대천2동,0.348
97,0,01-05 01:00,대천2동,0.332
98,0,01-05 02:00,대천2동,0.32
99,0,01-05 03:00,대천2동,0.308
100,0,01-05 04:00,대천2동,0.316
101,0,01-05 05:00,대천2동,0.304
102,0,01-05 06:00,대천2동,0.296
103,0,01-05 07:00,대천2동,0.288
104,0,01-05 08:00,대천2동,0.284
105,0,01-05 09:00,대천2동,0.316
106,0,01-05 10:00,대천2동,0.296
107,0,01-05 11:00,대천2동,0.308
108,0,01-05 12:00,대천2동,0.248
109,0,01-05 13:00,대천2동,0.252
110,0,01-05 14:00,대천2동,0.264
111,0,01-05 15:00,대천2동,0.248
112,0,01-05 16:00,대천2동,0.276
113,0,01-05 17:00,대천2동,0.24
114,0,01-05 18:00,대천2동,0.268
115,0,01-05 19:00,대천2동,0.224
116,0,01-05 20:00,대천2동,0.196
117,0,01-05 21:00,대천2동,0.168
118,0,01-05 22:00,대천2동,0.228
119,0,01-05 23:00,대천2동,0.22
120,0,01-06 00:00,대천2동,0.268
121,0,01-06 01:00,대천2동,0.26
122,0,01-06 02:00,대천2동,0.252
123,0,01-06 03:00,대천2동,0.268
124,0,01-06 04:00,대천2동,0.284
125,0,01-06 05:00,대천2동,0.276
126,0,01-06 06:00,대천2동,0.24
127,0,01-06 07:00,대천2동,0.324
128,0,01-06 08:00,대천2동,0.284
129,0,01-06 09:00,대천2동,0.308
130,0,01-06 10:00,대천2동,0.3
131,0,01-06 11:00,대천2동,0.292
132,0,01-06 12:00,대천2동,0.252
133,0,01-06 13:00,대천2동,0.32
134,0,01-06 14:00,대천2동,0.36
135,0,01-06 15:00,대천2동,0.348
136,0,01-06 16:00,대천2동,0.376
137,0,01-06 17:00,대천2동,0.38
138,0,01-06 18:00,대천2동,0.412
139,0,01-06 19:00,대천2동,0.44
140,0,01-06 20:00,대천2동,0.412
141,0,01-06 21:00,대천2동,0.44
142,0,01-06 22:00,대천2동,0.44
143,0,01-06 23:00,대천2동,0.42
144,0,01-07 00:00,대천2동,0.44
145,0,01-07 01:00,대천2동,0.444
146,0,01-07 02:00,대천2동,0.396
147,0,01-07 03:00,대천2동,0.432
148,0,01-07 04:00,대천2동,0.408
149,0,01-07 05:00,대천2동,0.456
150,0,01-07 06:00,대천2동,0.396
151,0,01-07 07:00,대천2동,0.368
152,0,01-07 08:00,대천2동,0.4
153,0,01-07 09:00,대천2동,0.396
154,0,01-07 10:00,대천2동,0.276
155,0,01-07 11:00,대천2동,0.176
156,0,01-07 12:00,대천2동,0.204
157,0,01-07 13:00,대천2동,0.176
158,0,01-07 14:00,대천2동,0.188
159,0,01-07 15:00,대천2동,0.2
160,0,01-07 16:00,대천2동,0.184
161,0,01-07 17:00,대천2동,0.18
162,0,01-07 18:00,대천2동,0.224
163,0,01-07 19:00,대천2동,0.22
164,0,01-07 20:00,대천2동,0.2
165,0,01-07 21:00,대천2동,0.192
166,0,01-07 22:00,대천2동,0.176
167,0,01-07 23:00,대천2동,0.152
168,0,01-08 00:00,대천2동,0.14
169,0,01-08 01:00,대천2동,0.144
170,0,01-08 02:00,대천2동,0.176
171,0,01-08 03:00,대천2동,0.14
172,0,01-08 04:00,대천2동,0.128
173,0,01-08 05:00,대천2동,0.14
174,0,01-08 06:00,대천2동,0.144
175,0,01-08 07:00,대천2동,0.156
176,0,01-08 08:00,대천2동,0.128
177,0,01-08 09:00,대천2동,0.132
178,0,01-08 10:00,대천2동,0.1
179,0,01-08 11:00,대천2동,0.068
180,0,01-08 12:00,대천2동,0.092
181,0,01-08 13:00,대천2동,0.076
182,0,01-08 14:00,대천2동,0.116
183,0,01-08 15:00,대천2동,0.116
184,0,01-08 16:00,대천2동,0.124
185,0,01-08 17:00,대천2동,0.12
186,0,01-08 18:00,대천2동,0.116
187,0,01-08 19:00,대천2동,0.14
188,0,01-08 20:00,대천2동,0.168
189,0,01-08 21:00,대천2동,0.148
190,0,01-08 22:00,대천2동,0.148
191,0,01-08 23:00,대천2동,0.156
192,0,01-09 00:00,대천2동,0.148
193,0,01-09 01:00,대천2동,0.12
194,0,01-09 02:00,대천2동,0.124
195,0,01-09 03:00,대천2동,0.12
196,0,01-09 04:00,대천2동,0.12
197,0,01-09 05:00,대천2동,0.092
198,0,01-09 06:00,대천2동,0.096
199,0,01-09 07:00,대천2동,0.104
200,0,01-09 08:00,대천2동,0.12
201,0,01-09 09:00,대천2동,0.148
202,0,01-09 10:00,대천2동,0.136
203,0,01-09 11:00,대천2동,0.1
204,0,01-09 12:00,대천2동,0.076
205,0,01-09 13:00,대천2동,0.092
206,0,01-09 14:00,대천2동,0.12
207,0,01-09 15:00,대천2동,0.14
208,0,01-09 16:00,대천2동,0.148
209,0,01-09 17:00,대천2동,0.144
210,0,01-09 18:00,대천2동,0.18
211,0,01-09 19:00,대천2동,0.208
212,0,01-09 20:00,대천2동,0.216
213,0,01-09 21:00,대천2동,0.228
214,0,01-09 22:00,대천2동,0.276
215,0,01-09 23:00,대천2동,0.312
216,0,01-10 00:00,대천2동,0.376
217,0,01-10 01:00,대천2동,0.404
218,0,01-10 02:00,대천2동,0.436
219,0,01-10 03:00,대천2동,0.42
220,0,01-10 04:00,대천2동,0.484
221,0,01-10 05:00,대천2동,0.436
222,0,01-10 06:00,대천2동,0.42
223,0,01-10 07:00,대천2동,0.356
224,0,01-10 08:00,대천2동,0.352
225,0,01-10 09:00,대천2동,0.368
226,0,01-10 10:00,대천2동,0.324
227,0,01-10 11:00,대천2동,0.308
228,0,01-10 12:00,대천2동,0.264
229,0,01-10 13:00,대천2동,0.188
230,0,01-10 14:00,대천2동,0.112
231,0,01-10 15:00,대천2동,0.164
232,0,01-10 16:00,대천2동,0.168
233,0,01-10 17:00,대천2동,0.16
234,0,01-10 18:00,대천2동,0.172
235,0,01-10 19:00,대천2동,0.132
236,0,01-10 20:00,대천2동,0.14
237,0,01-10 21:00,대천2동,0.128
238,0,01-10 22:00,대천2동,0.128
239,0,01-10 23:00,대천2동,0.144
240,0,01-11 00:00,대천2동,0.136
241,0,01-11 01:00,대천2동,0.156
242,0,01-11 02:00,대천2동,0.132
243,0,01-11 03:00,대천2동,0.136
244,0,01-11 04:00,대천2동,0.144
245,0,01-11 05:00,대천2동,0.1
246,0,01-11 06:00,대천2동,0.116
247,0,01-11 07:00,대천2동,0.1
248,0,01-11 08:00,대천2동,0.104
249,0,01-11 09:00,대천2동,0.112
250,0,01-11 10:00,대천2동,0.1
251,0,01-11 11:00,대천2동,0.072
252,0,01-11 12:00,대천2동,0.076
253,0,01-11 13:00,대천2동,0.124
254,0,01-11 14:00,대천2동,0.152
255,0,01-11 15:00,대천2동,0.18
256,0,01-11 16:00,대천2동,0.184
257,0,01-11 17:00,대천2동,0.152
258,0,01-11 18:00,대천2동,0.212
259,0,01-11 19:00,대천2동,0.16
260,0,01-11 20:00,대천2동,0.128
261,0,01-11 21:00,대천2동,0.132
262,0,01-11 22:00,대천2동,0.156
263,0,01-11 23:00,대천2동,0.16
264,0,01-12 00:00,대천2동,0.08
265,0,01-12 01:00,대천2동,0.068
266,0,01-12 02:00,대천2동,0.056
267,0,01-12 03:00,대천2동,0.064
268,0,01-12 04:00,대천2동,0.04
269,0,01-12 05:00,대천2동,0.032
270,0,01-12 06:00,대천2동,0.04
271,0,01-12 07:00,대천2동,0.036
272,0,01-12 08:00,대천2동,0.06
273,0,01-12 09:00,대천2동,0.044
274,0,01-12 10:00,대천2동,0.032
275,0,01-12 11:00,대천2동,0.028
276,0,01-12 12:00,대천2동,0.032
277,0,01-12 13:00,대천2동,0.032
278,0,01-12 14:00,대천2동,0.048
279,0,01-12 15:00,대천2동,0.04
280,0,01-12 16:00,대천2동,0.052
281,0,01-12 17:00,대천2동,0.068
282,0,01-12 18:00,대천2동,0.064
283,0,01-12 19:00,대천2동,0.064
284,0,01-12 20:00,대천2동,0.072
285,0,01-12 21:00,대천2동,0.08
286,0,01-12 22:00,대천2동,0.072
287,0,01-12 23:00,대천2동,0.06
288,0,01-13 00:00,대천2동,0.052
289,0,01-13 01:00,대천2동,0.056
290,0,01-13 02:00,대천2동,0.056
291,0,01-13 03:00,대천2동,0.048
292,0,01-13 04:00,대천2동,0.044
293,0,01-13 05:00,대천2동,0.048
294,0,01-13 06:00,대천2동,0.04
295,0,01-13 07:00,대천2동,0.06
296,0,01-13 08:00,대천2동,0.064
297,0,01-13 09:00,대천2동,0.048
298,0,01-13 10:00,대천2동,0.04
299,0,01-13 11:00,대천2동,0.032
300,0,01-13 12:00,대천2동,0.028
301,0,01-13 13:00,대천2동,0.032
302,0,01-13 14:00,대천2동,0.036
303,0,01-13 15:00,대천2동,0.028
304,0,01-13 16:00,대천2동,0.032
305,0,01-13 17:00,대천2동,0.048
306,0,01-13 18:00,대천2동,0.064
307,0,01-13 19:00,대천2동,0.06
308,0,01-13 20:00,대천2동,0.06
309,0,01-13 21:00,대천2동,0.052
310,0,01-13 22:00,대천2동,0.044
311,0,01-13 23:00,대천2동,0.044
312,0,01-14 00:00,대천2동,0.048
313,0,01-14 01:00,대천2동,
314,0,01-14 02:00,대천2동,
315,0,01-14 03:00,대천2동,0.048
316,0,01-14 04:00,대천2동,0.044
317,0,01-14 05:00,대천2동,0.048
318,0,01-14 06:00,대천2동,0.052
319,0,01-14 07:00,대천2동,0.072
320,0,01-14 08:00,대천2동,0.068
321,0,01-14 09:00,대천2동,0.044
322,0,01-14 10:00,대천2동,0.028
323,0,01-14 11:00,대천2동,0.024
324,0,01-14 12:00,대천2동,0.024
325,0,01-14 13:00,대천2동,0.024
326,0,01-14 14:00,대천2동,
327,0,01-14 15:00,대천2동,
328,0,01-14 16:00,대천2동,
329,0,01-14 17:00,대천2동,
330,0,01-14 18:00,대천2동,
331,0,01-14 19:00,대천2동,
332,0,01-14 20:00,대천2동,
333,0,01-14 21:00,대천2동,0.056
334,0,01-14 22:00,대천2동,0.044
335,0,01-14 23:00,대천2동,0.056
336,0,01-15 00:00,대천2동,0.072
337,0,01-15 01:00,대천2동,0.076
338,0,01-15 02:00,대천2동,0.076
339,0,01-15 03:00,대천2동,0.084
340,0,01-15 04:00,대천2동,0.076
341,0,01-15 05:00,대천2동,0.068
342,0,01-15 06:00,대천2동,0.068
343,0,01-15 07:00,대천2동,0.084
344,0,01-15 08:00,대천2동,0.052
345,0,01-15 09:00,대천2동,0.036
346,0,01-15 10:00,대천2동,0.04
347,0,01-15 11:00,대천2동,0.032
348,0,01-15 12:00,대천2동,0.028
349,0,01-15 13:00,대천2동,0.032
350,0,01-15 14:00,대천2동,0.028
351,0,01-15 15:00,대천2동,0.04
352,0,01-15 16:00,대천2동,0.052
353,0,01-15 17:00,대천2동,0.04
354,0,01-15 18:00,대천2동,
355,0,01-15 19:00,대천2동,0.064
356,0,01-15 20:00,대천2동,0.064
357,0,01-15 21:00,대천2동,0.064
358,0,01-15 22:00,대천2동,0.064
359,0,01-15 23:00,대천2동,0.072
360,0,01-16 00:00,대천2동,0.092
361,0,01-16 01:00,대천2동,0.096
